"ID of id","kind","ID of col2","idx"
4194,10,4193,1
4200,18,4199,0
4205,10,4204,1
4211,18,4210,0
4214,18,4210,1
4217,18,4210,2
4222,4,4221,1
4223,0,4222,2
4224,18,4223,2
4229,18,4228,0
4233,18,4232,0
4237,16,4236,1
4239,25,4238,0
4242,18,4241,0
4246,4,4245,1
4247,18,4246,2
4251,0,4250,0
4252,0,4251,2
4253,18,4252,2
4257,18,4250,1
4260,18,4259,0
4264,4,4263,1
4265,0,4264,2
4266,18,4265,2
4270,19,4269,0
4271,18,4269,1
4274,4,4273,1
4275,18,4274,2
4278,0,4277,0
4279,0,4278,2
4280,18,4279,2
4284,18,4277,1
4287,18,4286,0
4291,16,4290,1
4294,18,4293,0
4297,4,4296,1
4298,0,4297,2
4299,0,4298,2
4300,18,4299,2
4305,18,4304,0
4307,18,4304,1
4310,4,4309,1
4311,0,4310,2
4312,0,4311,2
4313,18,4312,2
4318,26,4317,0
4319,18,4318,2
4321,19,4318,3
4324,27,4323,0
4326,18,4325,0
4329,18,4325,1
4334,4,4333,1
4335,0,4334,2
4336,18,4335,2
4340,6,4339,0
4341,4,4340,2
4342,18,4341,2
4346,18,4345,0
4351,19,4350,0
4353,18,4352,0
