"ID of node","ID of immediate_dominator"
4356,4357
4358,4356
4359,4358
4360,4359
4361,4360
4362,4361
4363,4362
4364,4363
4365,4366
4367,4365
4368,4367
4371,4370
4372,4371
4373,4372
4374,4373
4375,4374
4376,4375
4377,4376
4378,4377
4379,4378
4380,4379
4383,4382
4384,4383
4385,4384
4386,4385
4387,4386
4388,4387
4389,4388
4390,4389
4391,4390
4392,4391
4393,4392
4394,4393
4395,4394
4396,4395
4397,4396
4398,4397
4399,4398
4400,4399
4401,4400
4402,4401
4405,4404
4406,4405
4407,4406
4408,4407
4409,4408
4410,4409
4411,4410
4412,4411
4413,4412
4416,4415
4417,4416
4424,4425
4426,4424
4427,4426
