"ID of id","ID of parent"
5748,4193
5749,4194
5750,4197
5751,4200
5752,4202
5753,4204
5754,4206
5755,4208
5756,4211
5757,4213
5758,4215
5759,4217
5760,4219
5761,4221
5763,4225
5764,4228
5765,4231
5766,4234
5767,4237
5768,4240
5769,4243
5770,4246
5771,4249
5772,4252
5773,4255
5774,4258
5775,4261
5776,4264
5777,4268
5778,4269
5779,4272
5780,4273
5781,4274
5782,4275
5783,4276
5784,4280
5785,4283
5786,4287
5787,4288
5788,4290
5789,4291
5790,4294
5791,4295
5792,4296
5793,4297
5794,4298
5795,4301
5796,4303
5797,4307
5798,4308
5799,4310
5800,4311
5801,4312
5802,4317
5803,4320
5804,4321
5805,4322
5806,4323
5807,4324
5808,4330
5809,4332
5810,4333
5811,4336
5812,4337
5813,4340
5814,4341
5815,4342
5816,4343
5817,4347
5818,4348
5819,4351
5820,4353
5821,4355
5822,4356
5823,4357
5824,4358
5825,4364
5826,4367
5827,4368
5828,4369
5829,4374
5830,4377
5831,4378
5832,4379
5833,4383
5834,4384
5835,4385
5836,4389
5837,4391
5838,4393
5839,4394
5840,4395
5841,4400
5842,4402
5843,4404
5844,4405
5845,4406
5846,4408
5847,4409
5848,4410
5849,4411
5850,4416
5851,4419
5852,4420
5853,4422
5854,4423
5855,4425
5856,4427
5857,4431
5858,4432
5859,4436
5860,4437
5861,4439
5862,4440
5863,4441
5864,4442
5865,4448
5866,4451
5867,4452
5868,4453
5869,4457
5870,4458
5871,4459
5872,4460
5873,4461
5874,4466
5875,4467
5876,4468
5877,4472
5878,4475
5879,4477
5880,4478
5881,4479
5882,4480
5883,4481
5884,4486
5885,4488
5886,4489
5887,4491
5888,4493
5889,4494
5890,4495
5891,4499
5892,4501
5893,4505
5894,4506
5895,4507
5896,4508
5897,4513
5898,4514
5899,4515
5900,4519
5901,4521
5902,4522
5903,4525
5904,4526
5905,4529
5906,4530
5907,4532
5908,4534
5909,4535
5910,4538
5911,4539
5912,4542
5913,4543
5914,4545
5915,4547
5916,4548
5917,4549
5918,4551
5919,4554
5920,4556
5921,4557
5922,4558
5923,4559
5924,4563
5925,4564
5926,4567
5927,4570
5928,4571
5929,4572
5930,4573
5931,4577
5932,4578
5933,4580
5934,4582
5935,4585
5936,4586
5937,4588
5938,4590
5939,4591
5940,4592
5941,4594
5942,4597
5943,4600
5944,4601
5945,4602
5946,4603
5947,4607
5948,4610
5949,4612
5950,4615
5951,4618
5952,4622
5953,4623
5954,4626
5955,4627
5956,4632
5957,4634
5958,4635
5959,4640
5960,4642
5961,4643
5962,4646
5963,4647
5964,4652
5965,4655
5966,4657
5967,4660
5968,4661
5969,4662
5970,4664
5971,4667
5972,4669
5973,4670
5974,4673
5975,4674
5976,4679
5977,4681
5978,4683
5979,4686
5980,4687
5981,4688
5982,4689
5983,4694
5984,4695
5985,4697
5986,4699
5987,4703
5988,4704
5989,4706
5990,4709
5991,4710
5992,4711
5993,4713
5994,4716
5995,4718
5996,4719
5997,4722
5998,4723
5999,4726
6000,4727
6001,4728
6002,4732
6003,4735
6004,4737
6005,4739
6006,4742
6007,4743
6008,4746
6009,4747
6010,4750
6011,4751
6012,4754
6013,4755
6014,4760
6015,4763
6016,4764
6017,4765
6018,4766
6019,4767
6020,4768
6021,4769
6022,4770
6023,4774
6024,4775
6025,4779
6026,4780
6027,4783
6028,4785
6029,4786
6030,4789
6031,4790
6032,4793
6033,4794
6034,4799
6035,4802
6036,4803
6037,4804
6038,4805
6039,4810
6040,4812
6041,4814
6042,4817
6043,4818
6044,4821
6045,4824
6046,4825
6047,4826
6048,4830
6049,4831
6050,4833
6051,4836
6052,4838
6053,4839
6054,4840
6055,4844
6056,4845
6057,4847
6058,4848
6059,4850
6060,4851
6061,4854
6062,4857
6063,4858
6064,4859
6065,4864
6066,4867
6067,4868
6068,4869
6069,4870
6070,4871
6071,4876
6072,4879
6073,4880
6074,4883
6075,4884
6076,4886
6077,4889
6078,4890
6079,4891
6080,4892
6081,4896
6082,4899
6083,4901
6084,4902
6085,4905
6086,4906
6087,4908
6088,4910
6089,4911
6090,4912
6091,4916
6092,4917
6093,4920
6094,4921
6095,4924
6096,4925
6097,4926
6098,4927
6099,4928
6100,4933
6101,4934
6102,4938
6103,4939
6104,4942
6105,4943
6106,4944
6107,4945
6108,4946
6109,4951
6110,4952
6111,4955
6112,4956
6113,4957
6114,4961
6115,4962
6116,4963
6117,4967
6118,4968
6119,4969
6120,4973
6121,4974
6122,4975
6123,4976
6124,4980
6125,4981
6126,4984
6127,4986
6128,4989
6129,4990
6130,4993
6131,4994
6132,4995
6133,4996
6134,4997
6135,5002
6136,5004
6137,5005
6138,5006
6139,5010
6140,5011
6141,5012
6142,5016
6143,5017
6144,5019
6145,5020
6146,5021
6147,5024
6148,5025
6149,5026
6150,5027
6151,5030
6152,5031
6153,5032
6155,5038
6156,5042
6157,5043
6158,5044
6159,5045
6160,5048
6161,5050
6162,5051
6163,5054
6164,5055
6165,5057
6166,5058
6167,5059
6168,5062
6169,5063
6170,5064
6171,5065
6172,5068
6173,5070
6174,5071
6175,5074
6176,5075
6177,5076
6178,5077
6179,5081
6180,5083
6181,5085
6182,5088
