"ID of flow","ID of scope","kind"
5092,5036,-1
5095,5036,1
5097,5036,2
5099,4223,-1
5117,4223,1
5123,4223,1
5127,4223,1
5131,4223,1
5138,4223,1
5149,4223,1
5162,4223,1
5169,4223,1
5171,4223,1
5172,4223,1
5174,4223,1
5181,4223,1
5192,4223,1
5198,4223,1
5203,4223,1
5206,4223,1
5213,4223,1
5214,4223,1
5222,4223,1
5234,4223,1
5240,4223,1
5243,4223,1
5245,4223,1
5252,4223,1
5264,4223,1
5267,4223,1
5268,4223,1
5274,4223,1
5277,4223,1
5280,4223,1
5290,4223,1
5345,4223,1
5346,4223,0
5354,4223,1
5376,4223,1
5383,4223,1
5392,4223,1
5401,4223,1
5405,4223,1
5409,4223,1
5414,4223,1
5417,4223,1
5425,4223,1
5438,4223,1
5444,4223,1
5447,4223,1
5449,4223,1
5456,4223,1
5468,4223,1
5471,4223,1
5472,4223,1
5478,4223,1
5481,4223,1
5484,4223,1
5494,4223,1
5527,4223,1
5555,4223,1
5560,4223,1
5562,4223,0
5564,4223,1
5575,4223,1
5586,4223,1
5588,4223,1
5591,4223,1
5593,4223,1
5606,4223,1
5613,4223,1
5622,4223,1
5631,4223,1
5635,4223,1
5639,4223,1
5644,4223,1
5647,4223,1
5655,4223,1
5709,4188,-1
5723,4188,0
