"ID of node","ID of scope"
4193,4188
4194,4188
4197,4188
4200,4188
4202,4188
4204,4188
4206,4188
4208,4188
4211,4188
4213,4188
4215,4188
4217,4188
4219,4188
4221,4188
4225,4223
4228,4223
4231,4223
4234,4223
4237,4223
4240,4223
4243,4223
4246,4223
4249,4223
4252,4223
4255,4223
4258,4223
4261,4223
4264,4223
4268,4223
4269,4223
4272,4223
4273,4223
4274,4223
4275,4223
4276,4223
4280,4223
4283,4223
4288,4223
4291,4223
4294,4223
4295,4223
4296,4223
4297,4223
4298,4223
4301,4223
4303,4223
4308,4223
4310,4223
4311,4223
4312,4223
4317,4223
4320,4223
4321,4223
4322,4223
4323,4223
4324,4223
4330,4223
4332,4223
4333,4223
4336,4223
4337,4223
4340,4223
4341,4223
4342,4223
4343,4223
4347,4223
4348,4223
4351,4223
4353,4223
4355,4223
4356,4223
4357,4223
4358,4223
4364,4223
4367,4223
4368,4223
4369,4223
4374,4223
4377,4223
4378,4223
4379,4223
4383,4223
4384,4223
4385,4223
4389,4223
4391,4223
4393,4223
4394,4223
4395,4223
4400,4223
4402,4223
4406,4223
4408,4223
4409,4223
4410,4223
4411,4223
4416,4223
4419,4223
4420,4223
4423,4223
4425,4223
4427,4223
4431,4223
4432,4223
4436,4223
4437,4223
4439,4223
4440,4223
4441,4223
4442,4223
4448,4223
4451,4223
4452,4223
4453,4223
4457,4223
4458,4223
4459,4223
4460,4223
4461,4223
4466,4223
4467,4223
4468,4223
4472,4223
4475,4223
4477,4223
4478,4223
4479,4223
4480,4223
4481,4223
4486,4223
4488,4223
4489,4223
4491,4223
4493,4223
4494,4223
4495,4223
4499,4223
4501,4223
4505,4223
4506,4223
4507,4223
4508,4223
4513,4223
4514,4223
4515,4223
4519,4223
4521,4223
4522,4223
4525,4223
4526,4223
4529,4223
4530,4223
4532,4223
4534,4223
4535,4223
4538,4223
4539,4223
4542,4223
4543,4223
4545,4223
4547,4223
4548,4223
4549,4223
4551,4223
4554,4223
4556,4223
4557,4223
4558,4223
4559,4223
4563,4223
4564,4223
4567,4223
4570,4223
4571,4223
4572,4223
4573,4223
4577,4223
4578,4223
4580,4223
4582,4223
4585,4223
4586,4223
4588,4223
4590,4223
4591,4223
4592,4223
4594,4223
4597,4223
4600,4223
4601,4223
4602,4223
4603,4223
4607,4223
4610,4223
4612,4223
4615,4223
4618,4223
4622,4223
4623,4223
4626,4223
4627,4223
4632,4223
4634,4223
4635,4223
4640,4223
4642,4223
4643,4223
4646,4223
4647,4223
4652,4223
4655,4223
4657,4223
4660,4223
4661,4223
4662,4223
4664,4223
4667,4223
4669,4223
4670,4223
4673,4223
4674,4223
4679,4223
4681,4223
4683,4223
4686,4223
4687,4223
4688,4223
4689,4223
4694,4223
4695,4223
4697,4223
4699,4223
4703,4223
4704,4223
4706,4223
4709,4223
4710,4223
4711,4223
4713,4223
4716,4223
4718,4223
4719,4223
4722,4223
4723,4223
4726,4223
4727,4223
4728,4223
4732,4223
4735,4223
4737,4223
4739,4223
4742,4223
4743,4223
4746,4223
4747,4223
4750,4223
4751,4223
4754,4223
4755,4223
4760,4223
4763,4223
4764,4223
4765,4223
4766,4223
4767,4223
4768,4223
4769,4223
4770,4223
4774,4223
4775,4223
4779,4223
4780,4223
4783,4223
4785,4223
4786,4223
4789,4223
4790,4223
4793,4223
4794,4223
4799,4223
4802,4223
4803,4223
4804,4223
4805,4223
4810,4223
4812,4223
4814,4223
4817,4223
4818,4223
4821,4223
4824,4223
4825,4223
4826,4223
4830,4223
4831,4223
4833,4223
4836,4223
4838,4223
4839,4223
4840,4223
4845,4223
4848,4223
4851,4223
4854,4223
4857,4223
4858,4223
4859,4223
4864,4223
4867,4223
4868,4223
4869,4223
4870,4223
4871,4223
4876,4223
4879,4223
4880,4223
4883,4223
4884,4223
4886,4223
4889,4223
4890,4223
4891,4223
4892,4223
4896,4223
4899,4223
4901,4223
4902,4223
4905,4223
4906,4223
4908,4223
4910,4223
4911,4223
4912,4223
4917,4223
4920,4223
4921,4223
4924,4223
4925,4223
4926,4223
4927,4223
4928,4223
4933,4223
4934,4223
4938,4223
4939,4223
4942,4223
4943,4223
4944,4223
4945,4223
4946,4223
4951,4223
4952,4223
4955,4223
4956,4223
4957,4223
4961,4223
4962,4223
4963,4223
4967,4223
4968,4223
4969,4223
4973,4223
4974,4223
4975,4223
4976,4223
4980,4223
4981,4223
4984,4223
4986,4223
4990,4223
4993,4223
4994,4223
4995,4223
4996,4223
4997,4223
5002,4223
5004,4223
5005,4223
5006,4223
5010,4223
5011,4223
5012,4223
5016,4223
5017,4223
5020,4223
5021,4223
5024,4223
5026,4223
5027,4223
5030,4223
5032,4223
5038,5036
5042,5036
5043,5036
5044,5036
5045,5036
5048,4223
5050,4223
5051,4223
5054,4223
5055,4223
5058,4223
5059,4223
5062,4223
5064,4223
5065,4223
5068,4223
5070,4223
5071,4223
5074,4223
5075,4223
5076,4223
5077,4223
5081,4223
5083,4223
5085,4223
5088,4188
