"ID of id","ID of node"
5659,5098
5660,5100
5661,5101
5662,5102
5663,5103
5664,5104
5665,5105
5666,5106
5667,5107
5668,5108
5669,5109
5670,5110
5671,5111
5672,5112
5673,5139
5674,5140
5675,5163
5676,5164
5677,5193
5678,5194
5679,5204
5680,5208
5681,5215
5682,5220
5683,5221
5684,5242
5685,5254
5686,5282
5687,5296
5688,5378
5689,5384
5690,5385
5691,5393
5692,5410
5693,5446
5694,5458
5695,5486
5696,5500
5697,5529
5698,5531
5699,5565
5700,5567
5701,5594
5702,5595
5703,5608
5704,5614
5705,5615
5706,5623
5707,5640
5726,5722
