"ID of node","ID of var"
5113,5661
5116,5659
5119,5665
5121,5661
5126,5659
5129,5665
5132,5664
5140,5674
5141,5659
5143,5659
5145,5659
5147,5662
5148,5663
5150,5659
5154,5660
5158,5659
5164,5676
5173,5676
5180,5676
5183,5659
5188,5659
5191,5676
5197,5678
5201,5678
5205,5679
5211,5680
5217,5676
5221,5667
5223,5667
5226,5666
5228,5666
5230,5683
5236,5683
5237,5659
5244,5683
5247,5659
5255,5659
5259,5686
5260,5683
5261,5667
5263,5691
5266,5685
5269,5659
5270,5683
5275,5686
5276,5683
5279,5659
5283,5659
5288,5686
5291,5659
5299,5659
5302,5685
5308,5687
5313,5685
5316,5667
5319,5659
5322,5659
5325,5685
5331,5667
5332,5659
5336,5659
5338,5659
5340,5667
5341,5691
5342,5667
5343,5671
5348,5683
5349,5659
5352,5667
5353,5659
5357,5659
5359,5667
5361,5659
5364,5659
5366,5659
5368,5669
5373,5667
5374,5668
5375,5670
5381,5667
5386,5668
5388,5690
5390,5670
5394,5684
5400,5684
5402,5684
5403,5672
5408,5684
5411,5692
5412,5672
5415,5672
5418,5659
5420,5659
5426,5683
5430,5666
5432,5666
5434,5683
5440,5683
5441,5659
5448,5683
5451,5659
5459,5659
5463,5695
5464,5683
5465,5702
5467,5706
5470,5694
5473,5659
5474,5683
5479,5695
5480,5683
5483,5659
5487,5659
5492,5695
5495,5659
5503,5659
5506,5694
5512,5696
5517,5694
5520,5667
5523,5683
5524,5659
5530,5659
5533,5694
5539,5698
5540,5659
5546,5659
5549,5694
5550,5659
5554,5702
5556,5706
5557,5667
5558,5671
5561,5683
5567,5683
5568,5659
5571,5700
5572,5668
5573,5669
5574,5659
5578,5659
5580,5700
5583,5695
5596,5659
5598,5669
5603,5702
5604,5668
5605,5670
5611,5702
5616,5668
5618,5705
5620,5670
5624,5693
5630,5693
5632,5693
5633,5672
5638,5693
5641,5707
5642,5672
5645,5672
5648,5659
5650,5659
5656,5659
5658,5659
5723,5726
