"ID of id","ID of var"
5659,4226
5660,4229
5661,4232
5662,4235
5663,4238
5664,4241
5665,4244
5666,4247
5667,4250
5668,4253
5669,4256
5670,4259
5671,4262
5672,4265
5673,4241
5674,4241
5675,4229
5676,4229
5677,4229
5678,4229
5679,4229
5680,4502
5681,4428
5682,4428
5683,4428
5684,4247
5685,4568
5686,4598
5687,4616
5688,4256
5689,4256
5690,4256
5691,4855
5692,4247
5693,4247
5694,4568
5695,4598
5696,4616
5697,4250
5698,4250
5699,4250
5700,4250
5701,4250
5702,4250
5703,4256
5704,4256
5705,4256
5706,4855
5707,4247
5726,5089
