"ID of id","kind","ID of parent","idx"
4193,1,4192,0
4268,11,4267,0
4272,8,4271,0
4294,8,4293,0
4310,11,4267,1
4320,1,4319,0
4332,1,4267,2
4340,8,4267,3
4355,11,4267,4
4367,11,4366,0
4377,1,4376,0
4393,0,4267,5
4406,19,4267,6
4408,8,4407,0
4419,1,4418,0
4431,6,4430,0
4436,11,4435,0
4451,11,4450,0
4457,1,4456,0
4477,0,4450,1
4493,21,4435,1
4505,1,4504,0
4521,11,4267,7
4525,1,4524,0
4534,11,4267,8
4538,1,4537,0
4547,1,4267,9
4556,1,4267,10
4570,1,4267,11
4590,1,4267,12
4600,1,4267,13
4622,11,4267,14
4642,11,4641,0
4660,1,4659,0
4669,11,4641,1
4686,8,4685,0
4703,11,4702,0
4709,1,4708,0
4718,1,4267,15
4726,1,4267,16
4746,11,4267,17
4763,1,4762,0
4785,11,4267,18
4802,11,4801,0
4817,1,4816,0
4824,1,4823,0
4838,1,4267,19
4857,11,4267,20
4867,11,4866,0
4879,1,4878,0
4889,1,4888,0
4901,1,4888,1
4910,1,4267,21
4924,1,4267,22
4942,8,4267,23
4967,11,4267,24
4973,8,4972,0
4993,8,4992,0
5004,1,4267,25
5016,1,4267,26
5042,18,5041,0
5054,1,4267,27
5074,8,4267,28
