"ID of id","ID of parent"
4198,4197
4198,4200
4198,4202
4198,4204
4198,4206
4198,4211
4198,4213
4198,4215
4198,4217
4198,4219
4198,4317
4198,4364
4198,4374
4198,4400
4198,4564
4198,4632
4198,4760
4198,4799
4198,4864
4209,4208
4209,4818
4226,4225
4226,4283
4226,4303
4226,4337
4226,4343
4226,4348
4226,4358
4226,4385
4226,4453
4226,4468
4226,4723
4226,4743
4226,4751
4226,4790
4226,4921
4226,4928
4226,4939
4226,4946
4226,4963
4226,4969
4226,4981
4226,4997
4226,5006
4226,5012
4226,5021
4226,5027
4226,5045
4226,5051
4226,5059
4226,5065
4226,5071
4226,5077
4229,4228
4229,4369
4229,4391
4229,4395
4229,4416
4229,4423
4229,4448
4229,4472
4229,4475
4229,4486
4229,4491
4229,4499
4232,4231
4232,4269
4232,4291
4235,4234
4235,4351
4238,4237
4238,4353
4241,4240
4241,4312
4241,4330
4241,4333
4244,4243
4244,4288
4244,4308
4247,4246
4247,4535
4247,4539
4247,4554
4247,4859
4247,4876
4247,4880
4247,4896
4247,4899
4247,4902
4250,4249
4250,4522
4250,4526
4250,4657
4250,4667
4250,4683
4250,4706
4250,4716
4250,4735
4250,4755
4250,4783
4250,4810
4250,4833
4250,4986
4250,5081
4253,4252
4253,4737
4253,4812
4253,4845
4256,4255
4256,4739
4256,4794
4256,4821
4256,4836
4256,4848
4259,4258
4259,4814
4259,4851
4262,4261
4262,5085
4265,4264
4265,4884
4265,4906
4265,4917
4277,4276
4277,4298
4281,4280
4281,4301
4325,4324
4325,4934
4325,4952
4380,4379
4412,4411
4412,4573
4412,4603
4412,4892
4412,4957
4428,4427
4428,4519
4428,4530
4428,4543
4428,4549
4428,4559
4428,4578
4428,4586
4428,4592
4428,4662
4428,4711
4428,4719
4433,4432
4443,4442
4443,4461
4443,4481
4443,4871
4496,4495
4502,4501
4502,4515
4509,4508
4568,4567
4568,4582
4568,4627
4568,4647
4568,4674
4568,4697
4598,4597
4598,4607
4598,4770
4598,4984
4598,5002
4613,4612
4616,4615
4616,4635
4619,4618
4653,4652
4653,4679
4690,4689
4700,4699
4729,4728
4806,4805
4806,4976
4827,4826
4841,4840
4855,4854
4855,4990
4855,5083
4913,4912
5039,5038
5089,5088
