"ID of node","ID of immediate_dominator"
4343,4344
4345,4343
4351,4350
4352,4351
4353,4352
4354,4353
4355,4354
4356,4355
4357,4356
4358,4357
4359,4358
4360,4359
4361,4360
4362,4361
4363,4362
4364,4363
4365,4364
4366,4365
4367,4366
4368,4367
4369,4363
4370,4369
4371,4370
4372,4371
4373,4372
4374,4373
4375,4374
4376,4375
4377,4376
4378,4377
4379,4378
4380,4379
4381,4380
4382,4381
4383,4382
4384,4383
4385,4384
4386,4385
4387,4386
4388,4387
4389,4388
4390,4389
4391,4390
4392,4391
4393,4392
4394,4393
4400,4401
4402,4400
4403,4402
