"ID of node","ID of scope"
4212,4207
4213,4207
4218,4216
4222,4216
4223,4216
4224,4216
4228,4216
4229,4216
4230,4216
4231,4216
4233,4216
4236,4216
4237,4216
4239,4216
4240,4216
4243,4216
4244,4216
4246,4216
4247,4216
4251,4216
4252,4216
4255,4216
4256,4216
4259,4216
4260,4216
4264,4216
4265,4216
4269,4216
4270,4216
4271,4216
4275,4216
4276,4216
4277,4216
4280,4216
4283,4216
4284,4216
4285,4216
4288,4216
4291,4216
4292,4216
4295,4216
4296,4216
4297,4216
4300,4216
4303,4216
4304,4216
4307,4216
4308,4216
4312,4216
4313,4216
4316,4216
4317,4216
4318,4216
4319,4216
4323,4216
4326,4216
4329,4216
4330,4216
4331,4216
4335,4216
4337,4216
4340,4207
