"ID of id","ID of parent"
4428,4212
4429,4213
4431,4218
4432,4221
4433,4224
4434,4228
4435,4229
4436,4230
4437,4231
4438,4232
4439,4233
4440,4234
4441,4238
4442,4241
4443,4245
4444,4247
4445,4250
4446,4252
4447,4253
4448,4255
4449,4258
4450,4260
4451,4261
4452,4262
4453,4263
4454,4264
4455,4270
4456,4271
4457,4272
4458,4273
4459,4274
4460,4275
4461,4280
4462,4283
4463,4284
4464,4288
4465,4289
4466,4290
4467,4294
4468,4297
4469,4298
4470,4299
4471,4300
4472,4304
4473,4305
4474,4306
4475,4311
4476,4314
4477,4315
4478,4318
4479,4319
4480,4320
4481,4324
4482,4327
4483,4330
4484,4331
4485,4335
4486,4336
4487,4337
4488,4338
4489,4339
4490,4344
4491,4345
4492,4349
4493,4350
4494,4353
