"ID of predecessor","ID of successor"
4356,4358
4357,4356
4358,4359
4361,4362
4362,4363
4363,4364
4364,4365
4365,4366
4366,4367
4367,4368
4368,4369
4371,4372
4372,4373
4373,4374
4373,4402
4374,4375
4374,4402
4375,4376
4375,4402
4376,4377
4376,4402
4377,4378
4377,4402
4378,4402
4380,4381
4380,4402
4381,4382
4381,4402
4382,4383
4383,4384
4383,4402
4384,4385
4384,4402
4385,4386
4386,4387
4386,4402
4387,4388
4388,4389
4388,4402
4389,4390
4390,4391
4391,4392
4391,4402
4392,4393
4393,4394
4393,4402
4394,4395
4394,4402
4395,4396
4395,4402
4396,4397
4397,4398
4397,4405
4398,4399
4399,4400
4400,4401
4400,4402
4401,4405
4402,4403
4403,4404
4404,4405
4405,4406
4406,4407
4407,4408
4408,4409
4409,4410
4410,4411
4411,4412
4412,4413
4422,4424
4423,4422
4424,4425
