"ID of id","ID of parent"
4434,4212
4435,4213
4437,4218
4438,4222
4439,4223
4440,4225
4441,4228
4442,4229
4443,4232
4444,4233
4445,4237
4446,4239
4447,4240
4448,4241
4449,4242
4450,4247
4451,4248
4452,4252
4453,4253
4454,4254
4455,4255
4456,4259
4457,4260
4458,4261
4459,4262
4460,4266
4461,4267
4462,4268
4463,4270
4464,4272
4465,4273
4466,4274
4467,4275
4468,4279
4469,4280
4470,4282
4471,4285
4472,4286
4473,4288
4474,4289
4475,4290
4476,4294
4477,4295
4478,4299
4479,4300
4480,4301
4481,4307
4482,4310
4483,4311
4484,4312
4485,4313
4486,4317
4487,4318
4488,4319
4489,4323
4490,4324
4491,4326
4492,4328
4493,4329
4494,4332
4495,4333
4496,4335
4497,4338
4498,4339
4499,4340
4500,4341
4501,4345
4502,4347
4503,4348
4504,4349
4505,4351
4506,4354
