"ID of node","ID of scope"
4212,4207
4213,4207
4218,4216
4222,4216
4223,4216
4224,4216
4225,4216
4226,4216
4233,4216
4234,4216
4237,4216
4238,4216
4239,4216
4240,4216
4241,4216
4248,4216
4249,4216
4250,4216
4251,4216
4256,4216
4257,4216
4260,4216
4261,4216
4263,4216
4266,4216
4267,4216
4269,4216
4271,4216
4273,4216
4274,4216
4276,4216
4277,4216
4280,4216
4281,4216
4283,4216
4285,4216
4287,4216
4288,4216
4290,4216
4293,4216
4296,4216
4297,4216
4300,4216
4303,4216
4304,4216
4305,4216
4306,4216
4310,4216
4311,4216
4312,4216
4316,4216
4317,4216
4320,4216
4323,4216
4326,4216
4327,4216
4328,4216
4329,4216
4330,4216
4335,4216
4336,4216
4340,4207
