"ID of id","kind","ID of col2","idx"
4213,10,4212,1
4218,18,4217,0
4223,0,4222,1
4224,0,4223,2
4225,0,4224,2
4226,18,4225,2
4233,0,4232,0
4234,18,4233,2
4238,4,4237,1
4239,0,4238,2
4240,0,4239,2
4241,18,4240,2
4248,4,4247,1
4249,0,4248,2
4250,0,4249,2
4251,18,4250,2
4256,0,4255,0
4257,18,4256,2
4261,16,4260,1
4263,7,4262,0
4266,25,4265,1
4267,25,4265,2
4269,16,4268,1
4271,28,4270,0
4273,19,4271,3
4274,19,4270,1
4276,25,4268,2
4277,7,4262,1
4280,25,4279,1
4281,25,4279,2
4283,16,4282,1
4285,28,4284,0
4287,19,4285,3
4288,19,4284,1
4290,25,4282,2
4293,18,4292,0
4297,18,4296,1
4300,18,4296,2
4304,4,4303,1
4305,0,4304,2
4306,18,4305,2
4310,4,4309,0
4311,0,4310,2
4312,18,4311,2
4316,25,4315,0
4317,19,4309,1
4320,18,4319,1
4323,18,4322,0
4327,4,4326,1
4328,0,4327,2
4329,0,4328,2
4330,18,4329,2
4335,0,4334,0
4336,18,4335,2
4340,18,4339,0
